J,pulse_fraction,seed,phase,transition_fragmentation,transition_matched_error,transition_lag_error,post_matched_error
0.2,0.45,7,fragmented_switch,0.875,0.6020871129763501,0.4079637115487437,0.17990839273977555
0.2,0.45,11,fragmented_switch,0.875,0.6021931392980561,0.40794438641485664,0.17990681576589637
0.2,0.45,19,fragmented_switch,0.875,0.6021568103385504,0.4079443300143565,0.17991576829094455
0.2,0.6,7,fragmented_switch,0.771875,0.6930376743745738,0.5828456107885333,0.8070519786412683
0.2,0.6,11,fragmented_switch,0.771875,0.6930767091048214,0.5828107208109516,0.8070711338627203
0.2,0.6,19,fragmented_switch,0.771875,0.6930676796603016,0.5827658091344631,0.8070504402022494
0.2,0.8,7,fragmented_switch,0.3701388888888889,0.3048675299905719,0.7944385787453533,0.4001920076408689
0.2,0.8,11,fragmented_switch,0.3701388888888889,0.3048946869924878,0.7943834554845141,0.40021316081782027
0.2,0.8,19,fragmented_switch,0.3703125,0.30489204399641895,0.7943572477190285,0.4001860782082582
0.2,1.0,7,coherent_switch_with_decoder_lag,0.0,0.21529892933247,1.0211048192818397,0.0017177783678183163
0.2,1.0,11,coherent_switch_with_decoder_lag,0.0,0.2153217694280406,1.0211502032511732,0.0017152912516448535
0.2,1.0,19,coherent_switch_with_decoder_lag,0.00017361111111111112,0.21533225827252062,1.0210084403455075,0.0017742031518827436
0.3,0.45,7,fragmented_switch,0.875,0.5444424625440912,0.40825734562193805,0.18291270529928552
0.3,0.45,11,fragmented_switch,0.875,0.5445509323878808,0.4082230917995711,0.18291237084901177
0.3,0.45,19,fragmented_switch,0.875,0.5445371022410371,0.40821386369271995,0.1829133464708987
0.3,0.6,7,fragmented_switch,0.7899305555555556,0.6993758758844572,0.5798207303097981,0.8034583768066262
0.3,0.6,11,fragmented_switch,0.7899305555555556,0.6994026101682922,0.5798119298242497,0.8034798730244687
0.3,0.6,19,fragmented_switch,0.7899305555555556,0.6993791186481405,0.5797310482813606,0.8034626574265373
0.3,0.8,7,fragmented_switch,0.3746527777777778,0.32060938274781825,0.7850433359114858,0.3960885044528758
0.3,0.8,11,fragmented_switch,0.3746527777777778,0.32064242764904033,0.7850074790802791,0.3961259021957343
0.3,0.8,19,fragmented_switch,0.3746527777777778,0.320644696884511,0.7849768740472061,0.3960895711962573
0.3,1.0,7,coherent_switch_with_decoder_lag,0.0,0.21435658434722116,0.9978167846614616,0.002852272696256447
0.3,1.0,11,coherent_switch_with_decoder_lag,0.0,0.21436641404102794,0.9978487925661486,0.002848239817589357
0.3,1.0,19,coherent_switch_with_decoder_lag,0.0,0.21440288533896137,0.99769839846437,0.0028877838559299225
0.45,0.45,7,fragmented_switch,0.875,0.45650717522063494,0.4078658462025204,0.1905609047678862
0.45,0.45,11,fragmented_switch,0.875,0.4565336164682908,0.4078735250654526,0.19054977956485972
0.45,0.45,19,fragmented_switch,0.875,0.45654710065164056,0.40785282563239844,0.1904742982470467
0.45,0.6,7,fragmented_switch,0.8125,0.7065252756805406,0.5751636492601425,0.7946141988198994
0.45,0.6,11,fragmented_switch,0.8125,0.7065411265413969,0.5752231359036796,0.7946410869718212
0.45,0.6,19,fragmented_switch,0.8125,0.7065001029882902,0.5750868221340839,0.7946362408735939
0.45,0.8,7,fragmented_switch,0.3815972222222222,0.34533978165149665,0.7684284760067998,0.3862381697570153
0.45,0.8,11,fragmented_switch,0.38177083333333334,0.34536552421391586,0.7684128276719486,0.38635571656350637
0.45,0.8,19,fragmented_switch,0.38177083333333334,0.3453489143941895,0.768356413071263,0.38626338316807823
0.45,1.0,7,coherent_switch_with_decoder_lag,0.00017361111111111112,0.21765738090686032,0.9642739521668836,0.004350644532469482
0.45,1.0,11,coherent_switch_with_decoder_lag,0.00034722222222222224,0.21765724077739187,0.9642691560257295,0.0043400300315384445
0.45,1.0,19,coherent_switch_with_decoder_lag,0.00034722222222222224,0.21768188357310503,0.964111067648486,0.0043614929160175646
0.6,0.45,7,fragmented_switch,0.875,0.3706614661252869,0.37619688312387706,0.19849773466615686
0.6,0.45,11,fragmented_switch,0.875,0.3706918395226206,0.3761795067719568,0.19844127118271163
0.6,0.45,19,fragmented_switch,0.875,0.3706224455583242,0.3761804158413139,0.19829102025023754
0.6,0.6,7,fragmented_switch,0.8125,0.7154978666906818,0.5659941321966953,0.7871257123833545
0.6,0.6,11,fragmented_switch,0.8125,0.7154886349376868,0.5660288302015444,0.7871770996311552
0.6,0.6,19,fragmented_switch,0.8125,0.7155028349772904,0.5659642871895397,0.7871731108414163
0.6,0.8,7,fragmented_switch,0.37916666666666665,0.3633630721621787,0.7548740403721509,0.3791837390236735
0.6,0.8,11,fragmented_switch,0.3793402777777778,0.36338042635677903,0.7548928994132791,0.3792871612065818
0.6,0.8,19,fragmented_switch,0.37916666666666665,0.36331875831002086,0.754812746194458,0.379161705012104
0.6,1.0,7,coherent_switch_with_decoder_lag,0.0,0.19652361912054156,0.9510654178869662,0.004429304156204122
0.6,1.0,11,coherent_switch_with_decoder_lag,0.0,0.1965153714356182,0.9510296683325208,0.004429142592459643
0.6,1.0,19,coherent_switch_with_decoder_lag,0.0,0.19645323549888521,0.9508985392706722,0.004448667825523394
